—ÚÓÎ·Âˆ1;—ÚÓÎ·Âˆ2
110;say
102;spd
65;member
65;vote
55;party
55;want
53;new
53;afd
51;coalition
51;group
48;clan
44;years
41;percent
41;federal
38;state
37;police
36;grand
35;government
33;union
32;woman
31;berlin
31;politician
30;attack
30;sobchak
29;make
28;election
27;minister
26;germany
26;criminal
25;cdu
25;people
24;accord
23;german
23;change
22;announce
22;time
22;right
22;decision
21;leader
21;just
21;√∂zdemir
20;majority
20;scholz
20;march
20;doe
20;political
20;defendant
19;merkel
19;result
19;family
18;clear
18;national
18;report
18;know
18;city
18;office
18;sentence
18;freital
17;chairman
17;foundation
17;court
17;left
16;chancellor
16;bundestag
16;video
16;ministry
15;parliamentary
15;steinbach
15;broadcasting
15;home
15;prison
15;man
15;putin
14;csu
14;decide
14;opponent
14;anthem
14;sunday
14;write
14;headscarf
14;right-wing
14;good
14;refugee
14;prosecutor
14;legal
14;security
14;zhirinovsky
13;agreement
13;days
13;groko
13;debate
13;way
13;public
13;recently
13;dresden
13;crime
13;green
13;poggenburg
12;participation
12;angela
12;large
12;great
12;base
12;come
12;astori
12;social
12;push
12;game
12;twitter
12;use
12;policy
12;greens
12;swiss
12;service
12;protection
12;society
12;russia
11;work
11;country
11;question
11;eu
11;foreign
11;spokesman
11;fee
11;place
11;case
11;internal
11;old
11;italy
11;school
11;market
11;ukraine
10;long
10;yes
10;water
10;board
10;week
10;representative
10;club
10;play
10;syria
10;opportunity
10;event
10;referendum
10;receive
10;fail
10;terrorist
10;total
10;demand
10;point
10;goal
10;pour
9;half
9;proposal
9;renewal
9;apparently
9;finally
9;interview
9;young
9;private
9;justice
9;captain
9;italian
9;situation
9;syrian
9;reject
9;men
9;president
9;close
9;wednesday
9;hold
9;abolition
9;explosive
9;trial
9;attempt
9;accused
9;high
9;membership
9;act
9;speak
9;need
9;ask
9;answer
9;kostic
9;minute
9;ball
9;world
9;rule
9;position
8;nietan
8;clarity
8;far
8;february
8;cast
8;end
8;today
8;discussion
8;add
8;association
8;day
8;letter
8;dead
8;davide
8;sartor
8;longer
8;fell
8;medium
8;ago
8;contribution
8;future
8;problem
8;course
8;candidate
8;possible
8;car
8;fear
8;interior
8;shot
8;increase
8;voter
